"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:76GlO5H5RT6g7y0gev86Nk","Just like Heaven","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","spotify:album:37Q22g0n9PzBLX6lNddrIa","Kiss Me, Kiss Me, Kiss Me","spotify:artist:7bu3H8JO7d0UbMoVzbo70s","The Cure","1987-05-25","https://i.scdn.co/image/ab67616d0000b2737f22337546d61faca55e0f4f","1","8","212000","https://p.scdn.co/mp3-preview/ef101f28ecd0df21cc7726ee48c1e6c7879f7d48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:1217963894","2022-03-28T20:14:04Z"
"spotify:track:01q4ccXbvPlCwZ1fPiFaeM","Girlfriend in a Coma - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:7jfexk2w5aDI25njkN0UGg","Strangeways, Here We Come","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1987-09-28","https://i.scdn.co/image/ab67616d0000b2736d965be72ad1bceb7f2bd089","1","4","122760","https://p.scdn.co/mp3-preview/105accea44b2aa9e59e438ce3280ff0f8e529f35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:1217963894","2022-03-28T20:15:03Z"
"spotify:track:29U7stRjqHU6rMiS8BfaI9","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:6mmv0gwumlFGWDGJXF4yEv","What A Wonderful World","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1968-01-01","https://i.scdn.co/image/ab67616d0000b273845a5660b804e5f3e821fbed","1","1","139226","https://p.scdn.co/mp3-preview/c0373a4a60919684b9b78bc011baf0d4290b1c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:1217963894","2022-03-28T20:17:56Z"
"spotify:track:5fVZC9GiM4e8vu99W0Xf6J","How to Save a Life","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","spotify:album:1IM3GwptCGYjRkzCBolyFK","How To Save A Life","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","The Fray","2005-09-13","https://i.scdn.co/image/ab67616d0000b27359b8b957f164ce660919f1f4","1","3","262533","https://p.scdn.co/mp3-preview/c38334b15c21ce019c1e968367d6a4af03248074?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:1217963894","2022-03-28T20:20:49Z"
"spotify:track:7FDV5ELOJHCGLe52AnttEd","Angel","spotify:artist:5EvFsr3kj42KNv97ZEnqij, spotify:artist:4hB4SmzreXMTGWYj7KQ7QN","Shaggy, Rayvon","spotify:album:3MT88SSyxQGbqYXj4LVk3b","Hot Shot","spotify:artist:5EvFsr3kj42KNv97ZEnqij","Shaggy","2000-08-08","https://i.scdn.co/image/ab67616d0000b2739449f9491c364d28a9668e17","1","6","235133","https://p.scdn.co/mp3-preview/5c9f065d77f56e07e2fad6daaa93daa0800c9fcd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:1217963894","2022-03-28T20:24:16Z"
"spotify:track:2zYzyRzz6pRmhPzyfMEC8s","Highway to Hell","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:10v912xgTZbjAtYfyKWJCS","Highway to Hell","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1979-07-27","https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0","1","1","208400","https://p.scdn.co/mp3-preview/3589df13595d1ab1a2667db423b76c7e1e86ed73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","spotify:user:1217963894","2022-03-28T20:24:33Z"
"spotify:track:51YZAJhOwIC5Gg3jMbAmhZ","For Whom The Bell Tolls (Remastered)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2omIeSJEGQeKHPOpiXgfkr","Ride The Lightning (Deluxe Remaster)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1984-07-27","https://i.scdn.co/image/ab67616d0000b273533fd0b248052d04e6b732c0","1","3","309973","https://p.scdn.co/mp3-preview/8e4aa633a3567a8fb1e33820f39f502a67b051fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:1217963894","2022-03-28T20:25:03Z"
"spotify:track:5CQ30WqJwcep0pYcV4AMNc","Stairway to Heaven - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:44Ig8dzqOkvkGDzaUof9lK","Led Zeppelin IV (Deluxe Edition)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1971-11-08","https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69","1","4","482830","https://p.scdn.co/mp3-preview/fc80a280376d5142c888475bd8fdcd00b4fc8d7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:1217963894","2022-03-28T20:25:49Z"
"spotify:track:6mFkJmJqdDVQ1REhVfGgd1","Wish You Were Here","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:0bCAjiUamIFqKJsekOYuRw","Wish You Were Here","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1975-09-12","https://i.scdn.co/image/ab67616d0000b2731a84d71391df7469c5ab8539","1","4","334743","https://p.scdn.co/mp3-preview/1975ce1e79647f1e161ca9fce19a3558855a3341?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:1217963894","2022-03-28T20:26:46Z"
"spotify:track:383Xl5QTigwj3QiA3Qc6S7","The Devil Went Down to Georgia","spotify:artist:12d4iIvTOk7JkI6ecvc3ca","The Charlie Daniels Band","spotify:album:7H5LNy2PyN3VLUm5nnMZEc","A Decade Of Hits","spotify:artist:12d4iIvTOk7JkI6ecvc3ca","The Charlie Daniels Band","1973","https://i.scdn.co/image/ab67616d0000b27382f846c52535bb65ab1d1a54","1","1","214866","https://p.scdn.co/mp3-preview/dc388f31b123d91e050ff79cfe558ba617227bec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:1217963894","2022-03-28T20:30:41Z"
